Textbox22,Textbox23,Textbox99,Textbox103,grp_name,apt1_apt_name,airport_2_name2,total_pax_this_period2,total_pax_scheduled_this_period2,total_pax_charter_this_period2,total_pax_last_period2,total_pax_scheduled_last_period2,total_pax_charter_last_period2,total_pax_percent2,Textbox42,Textbox44,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent,Textbox12,Textbox13,Textbox14,Textbox16,Textbox17,Textbox18,Textbox20
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- KIRKWALL,2797,2797,-,2326,2326,-,20,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- LONDON CITY,36049,36049,-,33173,33173,-,9,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- LUTON,22684,22684,-,24495,24495,-,-7,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- MANCHESTER,7835,7835,-,8891,8891,-,-12,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- NORWICH,1919,1919,-,1739,1739,-,10,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- SOUTHAMPTON,13369,13369,-,13476,13476,-,-1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- STANSTED,70531,70531,-,29205,29205,-,142,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- STORNOWAY,1020,1020,-,816,816,-,25,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- SUMBURGH,2689,2689,-,2873,2873,-,-6,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- WICK JOHN O GROATS,412,412,-,524,524,-,-21,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EXETER,- BELFAST CITY (GEORGE BEST),2058,2058,-,1795,1795,-,15,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EXETER,- EDINBURGH,2873,2873,-,2984,2984,-,-4,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EXETER,- GLASGOW,1873,1873,-,2126,2059,67,-12,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EXETER,- GUERNSEY,1963,1963,-,1965,1965,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EXETER,- JERSEY,2479,2479,-,2402,2402,-,3,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EXETER,- LONDON CITY,2585,2585,-,3053,3053,-,-15,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EXETER,- MANCHESTER,9163,9163,-,9761,9761,-,-6,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EXETER,- NEWCASTLE,2162,2162,-,2370,2310,60,-9,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EXETER,- NORWICH,1705,1705,-,1693,1693,-,1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EXETER,- SOUTHEND,48,48,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- BARRA,807,807,-,853,853,-,-5,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- BELFAST CITY (GEORGE BEST),10042,10042,-,9960,9960,-,1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- BELFAST INTERNATIONAL,21191,21191,-,20590,20590,-,3,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- BENBECULA,1728,1728,-,1560,1560,-,11,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- BIRMINGHAM,16424,16424,-,16231,16105,126,1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- BRISTOL,23688,23688,-,23398,23328,70,1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- CAMPBELTOWN,490,490,-,542,542,-,-10,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- CARDIFF WALES,2320,2320,-,2109,2109,-,10,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- CITY OF DERRY (EGLINTON),733,733,-,5932,5932,-,-88,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- EAST MIDLANDS INTERNATIONAL,7262,7262,-,7081,7081,-,3,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- EXETER,1873,1873,-,2125,2058,67,-12,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,GLASGOW,- GATWICK,50140,50140,-,46651,46651,-,7,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
